"tv","Name","CAS","SMILES","MW","log10prediction","log10lower95","log10upper95","prediction","lower95","upper95","appl.domain","Source","Warnings"
"RfDBMDL","2,2-Difluoropropane","420-45-1","CC(C)(F)F",80.043756519,3.37392964229888,1.59316179112749,5.09119107071893,33.8374650292592,0.648838171179404,2042.51695875455,1.12429997385556,"CTV",""
"RfDBMD","2,2-Difluoropropane","420-45-1","CC(C)(F)F",80.043756519,3.14810199245907,1.14982075600627,5.0860144813233,56.9148335112938,0.656618297783042,5669.00325342793,1.12429997385556,"CTV",""
"OSF","2,2-Difluoropropane","420-45-1","CC(C)(F)F",80.043756519,3.60527856446435,1.61643851335188,5.43900453644862,0.0503443922198894,0.000516548436218,3.43302585491532,2.92937350742606,"CTV",""
"CPV","2,2-Difluoropropane","420-45-1","CC(C)(F)F",80.043756519,3.67528783333333,1.69747933333333,5.7260471,0.0591507657275026,0.00062251793921876,6.64843822448489,2.10719634574675,"CTV",""
"RfC","2,2-Difluoropropane","420-45-1","CC(C)(F)F",80.043756519,3.98670616666667,1.59297848333334,6.00556101666668,8.25317959130017,0.0790253531994659,2043.37924994318,-0.265069181343256,"CTV",""
"IUR","2,2-Difluoropropane","420-45-1","CC(C)(F)F",80.043756519,3.07714516666666,0.692531008333334,4.94126086666666,0.0149216793902598,6.15465262739428e-05,1.09127298566913,1.90264080453487,"CTV",""
"RfD","3,5-Dinitroaniline","618-87-1","NC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O",183.028005653,7.83846475287862,6.22807649338467,9.34334214996634,0.00265492828628711,8.3018598514169e-05,0.108253277521362,5.28318651982911,"CTV",""
"RfDNOAEL","3,5-Dinitroaniline","618-87-1","NC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O",183.028005653,4.92823242664036,3.32444573864736,6.3709780315446,2.15916146587069,0.0779003691960974,86.7105236262604,4.03061675188521,"CTV",""
"RfDBMDL","3,5-Dinitroaniline","618-87-1","NC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O",183.028005653,4.92698830545244,3.14622045428105,6.64424973387249,2.16535567273315,0.0415210008620402,130.706472233321,5.76916991239879,"CTV",""
"RfDBMD","3,5-Dinitroaniline","618-87-1","NC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O",183.028005653,4.55042412784376,2.55214289139096,6.48833661670799,5.15339485628226,0.0594539797373647,513.304008886642,5.76916991239879,"CTV",""
"OSF","3,5-Dinitroaniline","618-87-1","NC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O",183.028005653,4.94050613590081,2.95166608478834,6.77423210788508,0.476418468195439,0.00488819516693869,32.4873704290731,4.73047342920942,"CTV",""
"CPV","3,5-Dinitroaniline","618-87-1","NC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O",183.028005653,5.39402683333333,3.41621833333333,7.4447861,1.35365903354768,0.014246257366321,152.148807388527,3.84663843605473,"CTV",""
